# Downloaded spreadsheet from https://www.dlms.com/flag-id/flag-id-list
# and saved as tab separated list and added this header. 2019-04-01
# FLAG ID <TAB> Manufacturer <TAB> Country <TAB> World Region
AAA	Aventies GmbH	Germany	Europe
ABB	ABB AB	Sweden	Europe
ABN	ABN Braun AG	Germany	Europe
ABR	ABB s.r.o.	Czech Republic	Europe
ACA	Acean	France	Europe
ACB	AcBel Polytech Inc.	Taiwan	Asia
ACC	Accurate (Pvt) Ltd	Pakistan	Asia
ACE	Actaris, France. (Electricity)	France	Europe
ACG	Actaris, France. (Gas)	France	Europe
ACH	Acantho S.p.A.	Italy	Europe
ACL	Aclara Meters UK Ltd	United Kingdom	Europe
ACN	ACN Advanced Communications Networks SA	Switzerland	Europe
ACS	Tianjin Chuangshi Technology Developing CO. Ltd.	China	Asia
ACT	Activis Metering GmbH	Germany	Europe
ACW	Actaris, France. (Water and Heat)	France	Europe
ADA	Andrea Informatique Sarl	France	Europe
ADD	“ADD-Production” S.R.L.	Moldova	Europe
ADE	Yantai Aerospace Delu Energy-saving Technology Co., Ltd.	China	Asia
ADF	ADFweb.com S.r.l.	Italy	Europe
ADN	Aidon Oy	Finland	Europe
ADR	Adrem Engineering SRL	Romania	Europe
ADU	Adunos GmbH	Germany	Europe
ADX	ADD-Production S.R.L.	Moldova	Europe
AEA	Abam Electronic Alborz	Iran	Middle East
AEC	Advance Electronics Company	Saudi Arabia	Middle East
AEE	Atlas Electronics	Serbia	Europe
AEG	AEG
AEI	Ajay Electrical Industries	India	Asia
AEL	Kohler	Turkey	Middle East
AEM	S.C. AEM S.A.	Romania	Europe
AER	Aerzener Maschinenfabrik GmbH	Germany	Europe
AFX	Alflex Products	Netherlands	Europe
AGE	AccessGate AB	Sweden	Europe
AGT	Agnitio Technologies Pvt Ltd	India	Asia
AHV	aventies GmbH	Germany	Europe
AIC	Avastu India Creations Pvt Ltd.	India	Asia
ALC	Zenner Gas S.r.l.	Italy	Europe
ALF	Alfatech – Elektromed Elektronik	Turkey	Middle East
ALG	Algodue Elettronica srl	Italy	Europe
ALK	Actislink Sp. z o.o.	Poland	Europe
ALL	Allied Engineering Works Pvt. Ltd.	India	Asia
ALR	Algorab S.R.L.	Italy	Europe
ALT	Amplitec GmbH	Germany	Europe
ALV	Alvicom Ltd.	Hungary	Europe
AMB	Würth Elektronik eiSos GmbH & Co. KG	Germany	Europe
AMC	Arch Meter Corporation	Taiwan	Asia
AMD	KEPID AMSTECH	South Korea	Asia
AME	Avon Meters Pvt. Ltd.	India	Asia
AMG	ANTE METER GROUP CO., LTD	China	Asia
AMH	AmiHo Ltd	United Kingdom	Europe
AMI	AMI Tech(I) Pvt. Ltd	India	Asia
AML	Eon Electric Ltd.	India	Asia
AMP	Ampy Automation Digilog Ltd
AMR	Actislink	Poland	Europe
AMS	Zhejiang Joy Electronic Technology Co.,Ltd	China	Asia
AMT	INTEGRA METERING AG
AMX	APATOR METRIX SA	Poland	Europe
ANA	Anacle Systems PTE LTD	Singapore	Asia
AND	Andis, s.r.o.	Slovakia	Europe
AOM	Aquametro Oil & Marine AG	Switzerland	Europe
AON	ASTRON d.o.o.	Slovenia	Europe
APA	Apator SA	Poland	Europe
APL	APLI s.r.o.	Slovakia	Europe
APO	APOLIS UG (haftungsbeschränkt)	Germany	Europe
APR	Apronecs Ltd	Bulgaria	Europe
APS	Apsis Kontrol Sistemleri	Turkey	Middle East
APT	Apator SA	Poland	Europe
APX	Amplex A/S	Denmark	Europe
AQL	Aqualoc	South Africa	Africa
AQM	INTEGRA METERING AG	Switzerland	Europe
AQT	Aquatherm sp.j. PPH.	Poland	Europe
AQU	Aquamess Gmbh	Germany	Europe
ARA	Aranha Ltd.	United Kingdom	Europe
ARC	Arcelik AS	Turkey	Middle East
ARD	Arad Group Ltd	Israel	Middle East
ARF	ADEUNIS RF	France	Europe
ARM	Arivus metering GmbH	Germany	Europe
ARS	ADD – Bulgaria Ltd	Bulgaria	Europe
